display_label,builder_count,type_count,types,assignment_by_builder
ChatGPT,12,4,"artifact, content, method, person",qwen35_0_8b=content; qwen35_2b=content; qwen35_4b=artifact; qwen35_9b=artifact; qwen3_0_6b=content; qwen3_1_7b=artifact; qwen3_4b=content; qwen3_8b=artifact; gemma3_270m=person; gemma3_1b=method; gemma3_4b=content; gemma3_12b=artifact
Cruise,12,4,"company, event, method, organization",qwen35_0_8b=organization; qwen35_2b=organization; qwen35_4b=organization; qwen35_9b=organization; qwen3_0_6b=event; qwen3_1_7b=organization; qwen3_4b=organization; qwen3_8b=organization; gemma3_270m=company; gemma3_1b=method; gemma3_4b=organization; gemma3_12b=organization
Denver,12,4,"city, event, location, organization",qwen35_0_8b=city; qwen35_2b=location; qwen35_4b=location; qwen35_9b=location; qwen3_0_6b=event; qwen3_1_7b=organization; qwen3_4b=location; qwen3_8b=location; gemma3_270m=organization; gemma3_1b=organization; gemma3_4b=location; gemma3_12b=location
Detroit Lions,12,4,"event, football, organization, unknown",qwen35_0_8b=unknown; qwen35_2b=organization; qwen35_4b=organization; qwen35_9b=organization; qwen3_0_6b=event; qwen3_1_7b=organization; qwen3_4b=organization; qwen3_8b=organization; gemma3_270m=football; gemma3_1b=unknown; gemma3_4b=organization; gemma3_12b=organization
Epic Games Store,12,4,"artifact, content, event, organization",qwen35_0_8b=organization; qwen35_2b=organization; qwen35_4b=organization; qwen35_9b=artifact; qwen3_0_6b=event; qwen3_1_7b=organization; qwen3_4b=content; qwen3_8b=artifact; gemma3_270m=organization; gemma3_1b=organization; gemma3_4b=organization; gemma3_12b=organization
Everton,12,4,"location, organization, person, sports",qwen35_0_8b=organization; qwen35_2b=organization; qwen35_4b=organization; qwen35_9b=organization; qwen3_0_6b=person; qwen3_1_7b=location; qwen3_4b=organization; qwen3_8b=organization; gemma3_270m=sports; gemma3_1b=organization; gemma3_4b=organization; gemma3_12b=organization
Fading Afternoon,12,4,"concept, content, event, game",qwen35_0_8b=content; qwen35_2b=content; qwen35_4b=content; qwen35_9b=content; qwen3_0_6b=event; qwen3_1_7b=game; qwen3_4b=content; qwen3_8b=content; gemma3_270m=game; gemma3_1b=concept; gemma3_4b=content; gemma3_12b=content
Fire Emblem Engage,12,4,"concept, content, event, rpg",qwen35_0_8b=content; qwen35_2b=content; qwen35_4b=content; qwen35_9b=content; qwen3_0_6b=event; qwen3_1_7b=content; qwen3_4b=content; qwen3_8b=content; gemma3_270m=rpg; gemma3_1b=concept; gemma3_4b=content; gemma3_12b=content
GPT-4,12,4,"artifact, artificialintelligence, concept, content",qwen35_0_8b=content; qwen35_2b=content; qwen35_4b=content; qwen35_9b=content; qwen3_0_6b=artifact; qwen3_1_7b=artifact; qwen3_4b=content; qwen3_8b=artifact; gemma3_270m=artificialintelligence; gemma3_1b=concept; gemma3_4b=content; gemma3_12b=content
Ketogenic Diet,12,4,"concept, content, method, unknown",qwen35_0_8b=content; qwen35_2b=method; qwen35_4b=method; qwen35_9b=method; qwen3_0_6b=concept; qwen3_1_7b=method; qwen3_4b=concept; qwen3_8b=concept; gemma3_270m=unknown; gemma3_1b=method; gemma3_4b=method; gemma3_12b=method
Kuroneko,12,4,"concept, content, event, movie",qwen35_0_8b=event; qwen35_2b=content; qwen35_4b=content; qwen35_9b=content; qwen3_0_6b=event; qwen3_1_7b=content; qwen3_4b=content; qwen3_8b=content; gemma3_270m=movie; gemma3_1b=concept; gemma3_4b=content; gemma3_12b=content
Man City,12,4,"organization, person, team, unknown",qwen35_0_8b=unknown; qwen35_2b=organization; qwen35_4b=organization; qwen35_9b=organization; qwen3_0_6b=team; qwen3_1_7b=organization; qwen3_4b=organization; qwen3_8b=organization; gemma3_270m=person; gemma3_1b=unknown; gemma3_4b=organization; gemma3_12b=organization
Mörk Borg,12,4,"concept, content, game, organization",qwen35_0_8b=organization; qwen35_2b=organization; qwen35_4b=organization; qwen35_9b=content; qwen3_0_6b=organization; qwen3_1_7b=content; qwen3_4b=content; qwen3_8b=organization; gemma3_270m=game; gemma3_1b=content; gemma3_4b=concept; gemma3_12b=content
Nelly,12,4,"artist, creature, person, unknown",qwen35_0_8b=person; qwen35_2b=person; qwen35_4b=person; qwen35_9b=person; qwen3_0_6b=person; qwen3_1_7b=person; qwen3_4b=person; qwen3_8b=person; gemma3_270m=artist; gemma3_1b=unknown; gemma3_4b=creature; gemma3_12b=person
New Heights,12,4,"content, event, organization, podcast",qwen35_0_8b=event; qwen35_2b=content; qwen35_4b=content; qwen35_9b=content; qwen3_0_6b=event; qwen3_1_7b=podcast; qwen3_4b=organization; qwen3_8b=content; gemma3_270m=organization; gemma3_1b=organization; gemma3_4b=content; gemma3_12b=organization
Newcastle,12,4,"location, organization, person, team",qwen35_0_8b=location; qwen35_2b=organization; qwen35_4b=organization; qwen35_9b=organization; qwen3_0_6b=team; qwen3_1_7b=organization; qwen3_4b=organization; qwen3_8b=organization; gemma3_270m=person; gemma3_1b=organization; gemma3_4b=organization; gemma3_12b=organization
Paper Bird,12,4,"artifact, naturalobject, organization, unknown",qwen35_0_8b=organization; qwen35_2b=organization; qwen35_4b=organization; qwen35_9b=organization; qwen3_0_6b=naturalobject; qwen3_1_7b=artifact; qwen3_4b=organization; qwen3_8b=organization; gemma3_270m=organization; gemma3_1b=unknown; gemma3_4b=organization; gemma3_12b=organization
Patriots,12,4,"creature, organization, person, unknown",qwen35_0_8b=person; qwen35_2b=organization; qwen35_4b=organization; qwen35_9b=organization; qwen3_0_6b=creature; qwen3_1_7b=organization; qwen3_4b=organization; qwen3_8b=organization; gemma3_270m=person; gemma3_1b=unknown; gemma3_4b=organization; gemma3_12b=organization
Porto,12,4,"event, organization, team, unknown",qwen35_0_8b=organization; qwen35_2b=organization; qwen35_4b=organization; qwen35_9b=organization; qwen3_0_6b=event; qwen3_1_7b=organization; qwen3_4b=organization; qwen3_8b=organization; gemma3_270m=team; gemma3_1b=unknown; gemma3_4b=organization; gemma3_12b=organization
Raiders,12,4,"event, organization, person, unknown",qwen35_0_8b=person; qwen35_2b=organization; qwen35_4b=organization; qwen35_9b=organization; qwen3_0_6b=event; qwen3_1_7b=organization; qwen3_4b=organization; qwen3_8b=organization; gemma3_270m=organization; gemma3_1b=unknown; gemma3_4b=organization; gemma3_12b=organization
Roblox,12,4,"content, organization, platform, platformer",qwen35_0_8b=organization; qwen35_2b=organization; qwen35_4b=content; qwen35_9b=content; qwen3_0_6b=organization; qwen3_1_7b=organization; qwen3_4b=content; qwen3_8b=platform; gemma3_270m=platformer; gemma3_1b=organization; gemma3_4b=organization; gemma3_12b=content
Sorcerer,12,4,"class, concept, organization, person",qwen35_0_8b=class; qwen35_2b=class; qwen35_4b=person; qwen35_9b=concept; qwen3_0_6b=person; qwen3_1_7b=organization; qwen3_4b=person; qwen3_8b=concept; gemma3_270m=person; gemma3_1b=person; gemma3_4b=organization; gemma3_12b=person
Sportsbook,12,4,"concept, organization, unknown, website","qwen35_0_8b=organization; qwen35_2b=concept,organization; qwen35_4b=organization; qwen35_9b=organization; qwen3_0_6b=organization; qwen3_1_7b=organization; qwen3_4b=organization; qwen3_8b=organization; gemma3_270m=website; gemma3_1b=unknown; gemma3_4b=organization,unknown; gemma3_12b=organization"
Sputnik,12,4,"concept, content, location, movie",qwen35_0_8b=content; qwen35_2b=content; qwen35_4b=content; qwen35_9b=content; qwen3_0_6b=location; qwen3_1_7b=content; qwen3_4b=content; qwen3_8b=content; gemma3_270m=movie; gemma3_1b=concept; gemma3_4b=content; gemma3_12b=content
Starfield,12,4,"concept, content, event, game",qwen35_0_8b=content; qwen35_2b=content; qwen35_4b=content; qwen35_9b=content; qwen3_0_6b=concept; qwen3_1_7b=content; qwen3_4b=content; qwen3_8b=event; gemma3_270m=game; gemma3_1b=content; gemma3_4b=content; gemma3_12b=content
The Wildsea,12,4,"concept, content, event, game",qwen35_0_8b=content; qwen35_2b=content; qwen35_4b=content; qwen35_9b=content; qwen3_0_6b=event; qwen3_1_7b=content; qwen3_4b=concept; qwen3_8b=content; gemma3_270m=game; gemma3_1b=game; gemma3_4b=content; gemma3_12b=content
US,12,4,"content, location, organization, person","qwen35_0_8b=location; qwen35_2b=content,location; qwen35_4b=content,location; qwen35_9b=content,location; qwen3_0_6b=content,organization; qwen3_1_7b=content,location; qwen3_4b=content,location; qwen3_8b=content,location; gemma3_270m=person; gemma3_1b=content,location; gemma3_4b=content,location; gemma3_12b=content,location"
iTunes,12,4,"artifact, content, product, unknown",qwen35_0_8b=content; qwen35_2b=content; qwen35_4b=artifact; qwen35_9b=artifact; qwen3_0_6b=content; qwen3_1_7b=content; qwen3_4b=artifact; qwen3_8b=artifact; gemma3_270m=product; gemma3_1b=unknown; gemma3_4b=content; gemma3_12b=artifact
Alameda,12,3,"location, organization, other",qwen35_0_8b=organization; qwen35_2b=organization; qwen35_4b=organization; qwen35_9b=organization; qwen3_0_6b=location; qwen3_1_7b=organization; qwen3_4b=organization; qwen3_8b=organization; gemma3_270m=organization; gemma3_1b=organization; gemma3_4b=other; gemma3_12b=organization
Alphabet,12,3,"company, organization, unknown",qwen35_0_8b=organization; qwen35_2b=organization; qwen35_4b=organization; qwen35_9b=organization; qwen3_0_6b=company; qwen3_1_7b=organization; qwen3_4b=organization; qwen3_8b=organization; gemma3_270m=organization; gemma3_1b=unknown; gemma3_4b=organization; gemma3_12b=organization
Amazon,12,3,"company, organization, retail",qwen35_0_8b=organization; qwen35_2b=organization; qwen35_4b=organization; qwen35_9b=organization; qwen3_0_6b=company; qwen3_1_7b=organization; qwen3_4b=organization; qwen3_8b=organization; gemma3_270m=retail; gemma3_1b=organization; gemma3_4b=organization; gemma3_12b=organization
Anthropic,12,3,"artifact, organization, technology",qwen35_0_8b=organization; qwen35_2b=organization; qwen35_4b=organization; qwen35_9b=organization; qwen3_0_6b=organization; qwen3_1_7b=artifact; qwen3_4b=organization; qwen3_8b=organization; gemma3_270m=technology; gemma3_1b=organization; gemma3_4b=organization; gemma3_12b=organization
Apple Pencil,12,3,"artifact, content, product",qwen35_0_8b=content; qwen35_2b=content; qwen35_4b=artifact; qwen35_9b=artifact; qwen3_0_6b=artifact; qwen3_1_7b=artifact; qwen3_4b=product; qwen3_8b=artifact; gemma3_270m=product; gemma3_1b=product; gemma3_4b=artifact; gemma3_12b=artifact
Australia,12,3,"location, organization, person",qwen35_0_8b=organization; qwen35_2b=organization; qwen35_4b=organization; qwen35_9b=organization; qwen3_0_6b=person; qwen3_1_7b=organization; qwen3_4b=organization; qwen3_8b=organization; gemma3_270m=person; gemma3_1b=organization; gemma3_4b=organization; gemma3_12b=location
Bank of America,12,3,"company, organization, unknown",qwen35_0_8b=organization; qwen35_2b=organization; qwen35_4b=organization; qwen35_9b=organization; qwen3_0_6b=organization; qwen3_1_7b=organization; qwen3_4b=organization; qwen3_8b=organization; gemma3_270m=company; gemma3_1b=unknown; gemma3_4b=organization; gemma3_12b=organization
Barcelona,12,3,"event, organization, team",qwen35_0_8b=organization; qwen35_2b=organization; qwen35_4b=organization; qwen35_9b=organization; qwen3_0_6b=event; qwen3_1_7b=organization; qwen3_4b=organization; qwen3_8b=organization; gemma3_270m=team; gemma3_1b=organization; gemma3_4b=organization; gemma3_12b=organization
Bayern Munich,12,3,"event, organization, soccer",qwen35_0_8b=organization; qwen35_2b=organization; qwen35_4b=organization; qwen35_9b=organization; qwen3_0_6b=event; qwen3_1_7b=organization; qwen3_4b=organization; qwen3_8b=organization; gemma3_270m=soccer; gemma3_1b=organization; gemma3_4b=organization; gemma3_12b=organization
Beats Studio Pro,12,3,"artifact, content, product",qwen35_0_8b=content; qwen35_2b=content; qwen35_4b=artifact; qwen35_9b=artifact; qwen3_0_6b=content; qwen3_1_7b=artifact; qwen3_4b=product; qwen3_8b=artifact; gemma3_270m=product; gemma3_1b=product; gemma3_4b=artifact; gemma3_12b=artifact
Best Buy,12,3,"location, organization, retail",qwen35_0_8b=organization; qwen35_2b=organization; qwen35_4b=organization; qwen35_9b=organization; qwen3_0_6b=location; qwen3_1_7b=organization; qwen3_4b=organization; qwen3_8b=organization; gemma3_270m=retail; gemma3_1b=organization; gemma3_4b=organization; gemma3_12b=organization
Biden Administration,12,3,"governmentofficial, organization, unknown",qwen35_0_8b=organization; qwen35_2b=organization; qwen35_4b=organization; qwen35_9b=organization; qwen3_0_6b=organization; qwen3_1_7b=organization; qwen3_4b=organization; qwen3_8b=organization; gemma3_270m=governmentofficial; gemma3_1b=unknown; gemma3_4b=organization; gemma3_12b=organization
Blackburn,12,3,"football, location, organization",qwen35_0_8b=organization; qwen35_2b=organization; qwen35_4b=organization; qwen35_9b=organization; qwen3_0_6b=location; qwen3_1_7b=organization; qwen3_4b=organization; qwen3_8b=organization; gemma3_270m=football; gemma3_1b=organization; gemma3_4b=organization; gemma3_12b=organization
Broncos,12,3,"organization, person, unknown",qwen35_0_8b=person; qwen35_2b=organization; qwen35_4b=organization; qwen35_9b=organization; qwen3_0_6b=organization; qwen3_1_7b=organization; qwen3_4b=organization; qwen3_8b=organization; gemma3_270m=organization; gemma3_1b=unknown; gemma3_4b=organization; gemma3_12b=organization
Buffalo Bills,12,3,"content, event, organization",qwen35_0_8b=organization; qwen35_2b=organization; qwen35_4b=organization; qwen35_9b=organization; qwen3_0_6b=organization; qwen3_1_7b=organization; qwen3_4b=event; qwen3_8b=organization; gemma3_270m=organization; gemma3_1b=organization; gemma3_4b=content; gemma3_12b=organization
Call of Duty: Modern Warfare III,12,3,"content, event, product",qwen35_0_8b=content; qwen35_2b=content; qwen35_4b=content; qwen35_9b=content; qwen3_0_6b=event; qwen3_1_7b=content; qwen3_4b=content; qwen3_8b=content; gemma3_270m=product; gemma3_1b=content; gemma3_4b=content; gemma3_12b=content
Falun Gong,12,3,"concept, naturalobject, organization",qwen35_0_8b=organization; qwen35_2b=organization; qwen35_4b=organization; qwen35_9b=organization; qwen3_0_6b=naturalobject; qwen3_1_7b=organization; qwen3_4b=organization; qwen3_8b=organization; gemma3_270m=concept; gemma3_1b=organization; gemma3_4b=concept; gemma3_12b=organization
Geno Smith,12,3,"creature, person, unknown",qwen35_0_8b=person; qwen35_2b=person; qwen35_4b=person; qwen35_9b=person; qwen3_0_6b=person; qwen3_1_7b=person; qwen3_4b=person; qwen3_8b=person; gemma3_270m=creature; gemma3_1b=unknown; gemma3_4b=person; gemma3_12b=person
Hipgnosis Songs Fund,12,3,"company, location, organization",qwen35_0_8b=organization; qwen35_2b=organization; qwen35_4b=organization; qwen35_9b=organization; qwen3_0_6b=location; qwen3_1_7b=organization; qwen3_4b=organization; qwen3_8b=organization; gemma3_270m=company; gemma3_1b=organization; gemma3_4b=organization; gemma3_12b=organization
Hugging Face,12,3,"content, organization, unknown",qwen35_0_8b=organization; qwen35_2b=organization; qwen35_4b=organization; qwen35_9b=organization; qwen3_0_6b=content; qwen3_1_7b=organization; qwen3_4b=organization; qwen3_8b=organization; gemma3_270m=unknown; gemma3_1b=organization; gemma3_4b=organization; gemma3_12b=organization
India,12,3,"location, organization, person",qwen35_0_8b=organization; qwen35_2b=organization; qwen35_4b=location; qwen35_9b=location; qwen3_0_6b=organization; qwen3_1_7b=organization; qwen3_4b=organization; qwen3_8b=organization; gemma3_270m=person; gemma3_1b=organization; gemma3_4b=organization; gemma3_12b=organization
